key,swedish,englishUK,englishUS,notes
"admin.dashboard.active_users","Aktiva användare","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.breadcrumb_admin","Admin Dashboard","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.breadcrumb_dashboard","Dashboard","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.contact_management","Kontakthantering","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.contact_sync_description","B2B och CRM använder samma kontaktdatabas för perfekt synkronisering.","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.description","Här kan du se en översikt över systemet och hantera användare, ordrar och produkter.","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.loading_stats","Laddar statistik...","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.manage_users","Hantera användare","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.no_orders_found","Inga ordrar hittades","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.order_from","från","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.products","produkter","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.recent_orders","Senaste ordrar","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.total_orders","Totalt antal ordrar","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.total_users","Totalt antal användare","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.try_again","Försök igen","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.unified_contact_db","Enhetlig kontaktdatabas aktiv","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.unknown_amount","Okänt belopp","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.unknown_date","Okänt datum","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.view_all_orders","Visa alla ordrar","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.view_all_users","Visa alla användare","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.view_details","Visa detaljer","","","From: src/pages/admin/AdminDashboard.jsx"
"admin.dashboard.welcome","Välkommen till Admin Dashboard","","","From: src/pages/admin/AdminDashboard.jsx"
