Key,Context,Swedish Original,English UK,English US,Status
b2b.nav.error_loading_wagon_menu_items,B2B Navigation Error,Error loading wagon menu items:,Error loading wagon menu items:,Error loading wagon menu items:,Ny
b2b.nav.kontakt_support,B2B Navigation Contact,Kontakt & Support,Contact & Support,Contact & Support,Ny
b2b.nav.oversikt_och_statistik,B2B Navigation Overview,Översikt och statistik,Overview and Statistics,Overview and Statistics,Ny
b2b.nav.hantera_anvandare,B2B Navigation Users,Hantera användare,Manage Users,Manage Users,Ny
b2b.nav.hantera_bestallningar,B2B Navigation Orders,Hantera beställningar,Manage Orders,Manage Orders,Ny
b2b.nav.hantera_produkter,B2B Navigation Products,Hantera produkter,Manage Products,Manage Products,Ny
b2b.nav.hantera_marknadsforingsmaterial,B2B Navigation Marketing,Hantera marknadsföringsmaterial,Manage Marketing Materials,Manage Marketing Materials,Ny
b2b.nav.hantera_sprak_och_oversattningar,B2B Navigation Languages,Hantera språk och översättningar,Manage Languages and Translations,Manage Languages and Translations,Ny
b2b.nav.hantera_affiliate_partners,B2B Navigation Affiliates,Hantera affiliate-partners,Manage Affiliate Partners,Manage Affiliate Partners,Ny
b2b.nav.systeminställningar,B2B Navigation Settings,Systeminställningar,System Settings,System Settings,Ny
b2b.nav.tillbaka_till_dashboard,B2B Navigation Back,Tillbaka till Dashboard,Back to Dashboard,Back to Dashboard,Ny
b2b.nav.ai_verktyg,B2B Navigation AI Tools,AI Verktyg,AI Tools,AI Tools,Ny
b2b.nav.admin,B2B Navigation Admin,Admin,Admin,Admin,Ny
b2b.nav.profil,B2B Navigation Profile,Profil,Profile,Profile,Ny
b2b.dashboard.welcome,B2B Dashboard Welcome,Återförsäljarportal,Reseller Portal,Reseller Portal,Ny
b2b.dashboard.welcome_text,B2B Dashboard Welcome Text,"Välkommen till vår återförsäljarportal – ett verktyg för att göra ert samarbete med oss så smidigt som möjligt.","Welcome to our reseller portal – a tool to make your collaboration with us as smooth as possible.","Welcome to our reseller portal – a tool to make your collaboration with us as smooth as possible.",Ny
b2b.dashboard.functions,B2B Dashboard Functions,Funktioner:,Features:,Features:,Ny
b2b.dashboard.place_order,B2B Dashboard Place Order,Lägg en beställning,Place an Order,Place an Order,Ny
b2b.dashboard.order_history,B2B Dashboard Order History,Orderhistorik,Order History,Order History,Ny
b2b.dashboard.product_catalog,B2B Dashboard Product Catalog,Produktkatalog,Product Catalogue,Product Catalog,Ny
b2b.dashboard.marketing_materials,B2B Dashboard Marketing Materials,Marknadsföringsmaterial,Marketing Materials,Marketing Materials,Ny
