key,context,swedish,englishUK,englishUS,status,translator,lastModified,notes,charCount
b2b.nav.error_loading_wagon_menu_items,"      } catch (error) {         console.error('Error loading wagon menu items:', error);         // Fallback to sync version on error:AppLayout.jsx",Error loading wagon menu items:,,,new,,,"From       } catch (error) {         console.error('Error loading wagon menu items:', error);         // Fallback to sync version on error",31
b2b.nav.kontakt_support,"    {       name: 'Kontakt & Support',       path: '/contact',:AppLayout.jsx",Kontakt & Support,,,new,,,"From     {       name: 'Kontakt & Support',       path: '/contact',",17
b2b.nav.profil,"    {       name: 'Profil',       path: '/profile',:AppLayout.jsx",Profil,,,new,,,"From     {       name: 'Profil',       path: '/profile',",6
b2b.nav.oversikt_och_statistik,"      icon: ChartBarIcon,       description: 'Översikt och statistik',     },:AppLayout.jsx",Översikt och statistik,,,new,,,"From       icon: ChartBarIcon,       description: 'Översikt och statistik',     },",22
b2b.nav.kunder,"    {       name: 'Kunder',       path: '/admin/users',:AppLayout.jsx",Kunder,,,new,,,"From     {       name: 'Kunder',       path: '/admin/users',",6
b2b.nav.hantera_anvandare,"      icon: UsersIcon,       description: 'Hantera användare',     },:AppLayout.jsx",Hantera användare,,,new,,,"From       icon: UsersIcon,       description: 'Hantera användare',     },",17
b2b.nav.ordrar,"    {       name: 'Ordrar',       path: '/admin/orders',:AppLayout.jsx",Ordrar,,,new,,,"From     {       name: 'Ordrar',       path: '/admin/orders',",6
b2b.nav.hantera_bestallningar,"      icon: ClipboardDocumentListIcon,       description: 'Hantera beställningar',     },:AppLayout.jsx",Hantera beställningar,,,new,,,"From       icon: ClipboardDocumentListIcon,       description: 'Hantera beställningar',     },",21
b2b.nav.produkter,"    {       name: 'Produkter',       path: '/admin/products',:AppLayout.jsx",Produkter,,,new,,,"From     {       name: 'Produkter',       path: '/admin/products',",9
b2b.nav.hantera_produkter,"      icon: CubeIcon,       description: 'Hantera produkter',     },:AppLayout.jsx",Hantera produkter,,,new,,,"From       icon: CubeIcon,       description: 'Hantera produkter',     },",17
b2b.nav.marknadsforing,"    {       name: 'Marknadsföring',       path: '/admin/marketing',:AppLayout.jsx",Marknadsföring,,,new,,,"From     {       name: 'Marknadsföring',       path: '/admin/marketing',",14
b2b.nav.hantera_marknadsforingsmaterial,"      icon: MegaphoneIcon,       description: 'Hantera marknadsföringsmaterial',     },:AppLayout.jsx",Hantera marknadsföringsmaterial,,,new,,,"From       icon: MegaphoneIcon,       description: 'Hantera marknadsföringsmaterial',     },",31
b2b.nav.oversattningar,"    {       name: 'Översättningar',       path: '/admin/translations',:AppLayout.jsx",Översättningar,,,new,,,"From     {       name: 'Översättningar',       path: '/admin/translations',",14
b2b.nav.hantera_sprak_och_oversattningar,"      icon: LanguageIcon,       description: 'Hantera språk och översättningar',     },:AppLayout.jsx",Hantera språk och översättningar,,,new,,,"From       icon: LanguageIcon,       description: 'Hantera språk och översättningar',     },",32
b2b.nav.hantera_affiliatepartners,"      icon: UsersIcon,       description: 'Hantera affiliate-partners',     },:AppLayout.jsx",Hantera affiliate-partners,,,new,,,"From       icon: UsersIcon,       description: 'Hantera affiliate-partners',     },",26
b2b.nav.installningar,"    {       name: 'Inställningar',       path: '/admin/settings',:AppLayout.jsx",Inställningar,,,new,,,"From     {       name: 'Inställningar',       path: '/admin/settings',",13
b2b.nav.systeminstallningar,"      icon: Cog6ToothIcon,       description: 'Systeminställningar',     }:AppLayout.jsx",Systeminställningar,,,new,,,"From       icon: Cog6ToothIcon,       description: 'Systeminställningar',     }",19
