"Key","Swedish","English UK","English US","Context","Status","Translator","Last Modified","Notes"
"group_tab_label","Gruppinnehåll","","","Admin product tab label","New","Auto","2025-01-11","Tab label for product group content management"
"group_content_title","Gruppinnehåll för {{group}}","","","Admin group content title","New","Auto","2025-01-11","Header title for group content editing"
"group_content_desc","Detta innehåll delas mellan alla produkter i gruppen","","","Admin group content description","New","Auto","2025-01-11","Explanation text for group content sharing"
"affected_products","Påverkar {{count}} produkter","","","Admin affected products count","New","Auto","2025-01-11","Shows how many products are affected by group content"
"group_content_load_error","Kunde inte ladda gruppinnehåll","","","Admin error message","New","Auto","2025-01-11","Error message when group content fails to load"
"group_content_saved","Gruppinnehåll sparat","","","Admin success message","New","Auto","2025-01-11","Success message when group content is saved"
"group_content_save_error","Kunde inte spara gruppinnehåll","","","Admin error message","New","Auto","2025-01-11","Error message when group content fails to save"
"saving","Sparar...","","","Admin saving status","New","Auto","2025-01-11","Status text during save operation"
"save_group_content","Spara gruppinnehåll","","","Admin save button","New","Auto","2025-01-11","Button text for saving group content"
"no_product_group","Ingen produktgrupp","","","Admin warning title","New","Auto","2025-01-11","Warning when product has no group assigned"
"no_product_group_desc","Denna produkt har ingen grupp tilldelad. Lägg till en grupp för att hantera delat innehåll.","","","Admin warning description","New","Auto","2025-01-11","Warning description for products without groups"
"size_guide_label","Storleksguide","","","Admin field label","New","Auto","2025-01-11","Label for size guide content field"
"size_guide_placeholder","Ange storleksguide för produktgruppen...","","","Admin field placeholder","New","Auto","2025-01-11","Placeholder for size guide content field"
"size_and_fit_label","Storlek och Passform","","","Admin field label","New","Auto","2025-01-11","Label for size and fit content field"
"size_and_fit_placeholder","Beskriv storlekar och passform...","","","Admin field placeholder","New","Auto","2025-01-11","Placeholder for size and fit content field"
"shipping_returns_label","Frakt och Retur","","","Admin field label","New","Auto","2025-01-11","Label for shipping returns content field"
"shipping_returns_placeholder","Ange frakt- och returinformation...","","","Admin field placeholder","New","Auto","2025-01-11","Placeholder for shipping returns content field"
"how_its_made_label","Hur den tillverkas","","","Admin field label","New","Auto","2025-01-11","Label for how it's made content field"
"how_its_made_placeholder","Beskriv tillverkningsprocess och hållbarhet...","","","Admin field placeholder","New","Auto","2025-01-11","Placeholder for how it's made content field"
"products_in_group","Produkter i denna grupp","","","Admin products list title","New","Auto","2025-01-11","Title for list of products in the group"
