"Key","Swedish","English UK","English US","Context","Status","Translator","Last Modified","Notes"
"checkout_profile_loaded","Profil laddad från ditt konto","Profile loaded from your account","Profile loaded from your account","B2C checkout - profile loaded notification","Complete","","","Success message when customer profile is pre-filled"
"checkout_from_account","från ditt konto","from your account","from your account","B2C checkout - account indicator","Complete","","","Badge text indicating info is from user account"
"email_verification_title","E-post verifiering","Email Verification","Email Verification","B2C email verification - page title","Complete","","","Page title for email verification handler"
"email_verification_verifying","Verifierar e-post...","Verifying email...","Verifying email...","B2C email verification - loading state","Complete","","","Loading message during verification"
"email_verification_please_wait","Vänligen vänta medan vi verifierar din e-post.","Please wait while we verify your email.","Please wait while we verify your email.","B2C email verification - loading description","Complete","","","Description during verification process"
"email_verification_success","E-post verifierad! Du kan nu logga in.","Email verified! You can now log in.","Email verified! You can now log in.","B2C email verification - success toast","Complete","","","Toast message on successful verification"
"email_verification_success_title","E-post verifierad!","Email verified!","Email verified!","B2C email verification - success title","Complete","","","Success page title"
"email_verification_success_message","Din e-post har verifierats framgångsrikt. Du kan nu logga in på ditt konto.","Your email has been successfully verified. You can now log in to your account.","Your email has been successfully verified. You can now log in to your account.","B2C email verification - success description","Complete","","","Success page description"
"email_verification_login_button","Logga in nu","Log in now","Log in now","B2C email verification - login button","Complete","","","Button to redirect to login"
"email_verification_auto_redirect","Du omdirigeras automatiskt om 3 sekunder...","You will be redirected automatically in 3 seconds...","You will be redirected automatically in 3 seconds...","B2C email verification - auto redirect note","Complete","","","Note about automatic redirect"
"email_verification_error","Fel vid verifiering av e-post.","Error verifying email.","Error verifying email.","B2C email verification - error toast","Complete","","","Toast message on verification error"
"email_verification_error_title","Verifieringsfel","Verification Error","Verification Error","B2C email verification - error title","Complete","","","Error page title"
"email_verification_error_message","Det uppstod ett fel vid verifiering av din e-post. Länken kan ha gått ut eller redan använts.","There was an error verifying your email. The link may have expired or already been used.","There was an error verifying your email. The link may have expired or already been used.","B2C email verification - error description","Complete","","","Error page description"
"email_verification_back_to_login","Tillbaka till inloggning","Back to login","Back to login","B2C email verification - back button","Complete","","","Button to go back to login on error"
